ccode,idacr,leader,id,numexit,DICT2,DICT,starttime,shocktime,tenure,political.affiliation,eventtime,event,ugovt,rtpast,DICT3,shocktimet,poleff2,Z
366,EST,Vahi,139,1,democracy,0,0,3,3,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
366,EST,Siimann,140,1,democracy,0,0,3,3,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
366,EST,Laar,141,1,democracy,0,0,4,4,fullhouse,4,0,fullhouse,,democracy,0,ins_all,1
366,EST,Kallas,142,1,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
366,EST,Parts,143,1,democracy,0,0,3,3,Notfullhouse,3,0,Notfullhouse,,democracy,0,ins_all,1
366,EST,Ansip,144,1,democracy,0,0,10,10,Notfullhouse,10,0,Notfullhouse,,democracy,0,ins_t_s,1
366,EST,Roivas,145,-888,democracy,0,0,2,2,Notfullhouse,2,0,Notfullhouse,,democracy,0,s_all,0
372,GRG,Saakashvili,148,3,democracy,1,0,1,10,fullhouse,9,1,fullhouse,,democracy,1,ins_all,1
372,GRG,Margvelashvili,149,-888,democracy,0,0,3,3,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
90,GUA,Leon Carpio,150,1,democracy,0,2,4,4,Notfullhouse,2,0,Notfullhouse,,democracy,0,ins_all,1
90,GUA,Arzu Yrigoyen,151,1,democracy,0,0,5,5,fullhouse,5,0,fullhouse,,democracy,0,ins_all,1
90,GUA,Alfonso Portillo Cabrera,152,1,democracy,0,0,5,5,fullhouse,5,0,fullhouse,,democracy,0,ins_all,1
90,GUA,Berger Perdomo,153,1,democracy,0,0,5,5,Notfullhouse,1,1,Notfullhouse,,democracy,1,ins_t_s,1
90,GUA,Colom Caballeros,154,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,s_all,0
90,GUA,Perez Molina,155,-888,democracy,0,0,4,4,Notfullhouse,1,1,Notfullhouse,,democracy,1,s_all,0
110,GUY,Jagan Cheddi,156,2,democratized,2,0,3,6,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
110,GUY,Samuel Hinds,157,1,democracy,0,0,1,1,fullhouse,1,0,fullhouse,,democracy,0,ins_all,1
110,GUY,Janet Jagan,158,2.099999905,democracy,0,0,3,3,fullhouse,3,0,fullhouse,,democracy,0,ins_all,1
110,GUY,Bharrat Jagdeo,159,1,democracy,0,0,13,13,fullhouse,10,1,fullhouse,,democracy,1,ins_t_s,1
110,GUY,Ramotar,160,1,democracy,0,0,5,5,fullhouse,5,0,fullhouse,,democracy,0,s_all,0
91,HON,Reina,161,1,democracy,0,0,4,4,fullhouse,4,0,fullhouse,,democracy,0,s_all,0
91,HON,Flores Facusse,162,1,democracy,0,0,5,5,fullhouse,5,0,fullhouse,,democracy,0,ins_all,1
91,HON,Ricardo Maduro,163,1,democracy,0,0,5,5,Notfullhouse,5,0,Notfullhouse,,democracy,0,ins_all,1
