"","ccode","idacr","leader","id","numentry","numexit","numexitcode","DICT","starttime","shocktime","tenure","political.affiliation","eventtime","event","ugovt","rtpast","DICT3","shock","polaffi2","Z"
"102",90,"GUA","Colom Caballeros",154,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"103",90,"GUA","Perez Molina",155,0,-888,-888,0,0,4,4,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"104",110,"GUY","Jagan Cheddi",156,0,2,0,2,0,3,6,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"106",110,"GUY","Janet Jagan",158,0,2.099999905,0,0,0,3,3,"fullhouse",3,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"107",110,"GUY","Bharrat Jagdeo",159,0,1,0,0,0,13,13,"fullhouse",10,1,"fullhouse",NA,"democracy",1,"ins_t_s","1"
"108",110,"GUY","Ramotar",160,0,1,0,0,0,5,5,"fullhouse",5,0,"fullhouse",NA,"democracy",0,"s_all","0"
"109",91,"HON","Reina",161,0,1,0,0,0,4,4,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"s_all","0"
"110",91,"HON","Flores Facusse",162,0,1,0,0,0,5,5,"fullhouse",5,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"111",91,"HON","Ricardo Maduro",163,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"112",91,"HON","Zelaya",164,0,3,6,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"113",91,"HON","Micheletti",165,1,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"114",91,"HON","Lobo",166,0,1,0,0,0,5,5,"fullhouse",3,1,"fullhouse",NA,"democracy",1,"ins_all","1"
"115",91,"HON","Hern<e1>ndez",167,0,-888,-888,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"ins_all","1"
"116",310,"HUN","Horn",168,0,1,0,0,1,5,5,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"117",310,"HUN","Orban",169,0,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"118",310,"HUN","Peter Medgyessy",170,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"119",310,"HUN","Ferenc Gyurcsany",171,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"120",310,"HUN","Bajnai",172,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"121",310,"HUN","Orban",173,0,-888,-888,0,0,0,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"122",750,"IND","Rao",174,0,1,0,0,4,6,6,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"125",750,"IND","Gujral",177,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"126",750,"IND","Vajpayee",178,0,1,0,0,0,7,7,"Notfullhouse",6,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"127",750,"IND","Manmohan Singh",179,0,1,0,0,0,11,11,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"128",750,"IND","Narendra Modi",180,0,-888,-888,0,0,2,2,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"s_all","0"
"129",850,"INS","Wahid",183,0,1,0,2,1,3,3,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"130",850,"INS","Megawati Sukarnoputri",184,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"131",850,"INS","Bambang Yudhoyono",185,0,1,0,0,0,0,11,"Notfullhouse",2,1,"Notfullhouse",NA,"democracy",1,"ins_t_s","1"
"132",850,"INS","Joko Widodo",186,0,-888,-888,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"s_all","0"
"133",51,"JAM","Patterson",187,0,1,0,0,3,15,15,"fullhouse",12,0,"fullhouse",NA,"democracy",0,"s_all","0"
"134",51,"JAM","Simpson-Miller",188,0,1,0,0,0,2,2,"fullhouse",2,0,"fullhouse",NA,"democracy",0,"s_all","0"
"136",51,"JAM","Holness",190,0,1,0,0,0,5,5,"fullhouse",1,1,"fullhouse",NA,"democracy",1,"s_all","0"
"137",51,"JAM","Simpson-Miller",191,0,-888,-888,0,0,4,4,"fullhouse",4,0,"fullhouse",NA,"democracy",0,"s_all","0"
"138",367,"LAT","Gailis",197,0,1,0,0,1,2,2,"Notfullhouse",1,1,"Notfullhouse",NA,"democracy",1,"ins_all","1"
"139",367,"LAT","Skele",198,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"140",367,"LAT","Krasts",199,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"141",367,"LAT","Kristopans",200,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"142",367,"LAT","Skele",201,0,1,0,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"143",367,"LAT","Berzins",202,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_t_s","1"
"144",367,"LAT","Repse",203,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"146",367,"LAT","Aigars Kalvitis",205,0,1,0,0,0,4,4,"Notfullhouse",4,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"147",367,"LAT","Godmanis",206,0,1,0,0,0,3,3,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"148",367,"LAT","Dombrovskis",207,0,1,0,0,0,6,6,"Notfullhouse",6,0,"Notfullhouse",NA,"democracy",0,"s_all","0"
"150",660,"LEB","Emile Lahoud",210,0,1,0,0,7,10,10,"Notfullhouse",3,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"151",660,"LEB","Siniora",211,0,3,6,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"152",660,"LEB","Suleiman",212,0,1,0,0,0,7,7,"Notfullhouse",7,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"153",660,"LEB","Salam",213,0,-888,-888,0,0,2,2,"Notfullhouse",2,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
"154",570,"LES","Mokhehle",214,1,1,0,0,0,5,5,"Notfullhouse",5,0,"Notfullhouse",NA,"democracy",0,"ins_all","1"
